flight_id,route_id,date,ticket_price
1,1,2025-10-03,9286
2,1,2025-05-04,11945
3,1,2025-06-07,8553
4,5,2025-07-06,11532
5,1,2025-09-28,3824
6,5,2025-11-03,7732
7,4,2025-10-23,7150
8,1,2025-10-14,10718
9,2,2025-12-29,7602
10,3,2025-03-10,11755
11,5,2025-05-31,5912
12,4,2025-06-24,7670
13,3,2025-12-11,5953
14,2,2025-01-24,10880
15,4,2025-10-03,9283
16,1,2025-04-09,4516
17,1,2025-01-15,11948
18,4,2025-05-07,5789
19,3,2025-11-11,6637
20,2,2025-05-21,8316
21,3,2025-06-02,7890
22,3,2025-06-30,9610
23,3,2025-01-09,5659
24,3,2025-07-13,5935
25,3,2025-02-10,10867
26,4,2025-09-12,5041
27,2,2025-01-16,9282
28,3,2025-03-30,4708
29,1,2025-12-22,11204
30,1,2025-01-17,8652
31,1,2025-01-30,10893
32,3,2025-11-19,3840
33,5,2025-06-25,8262
34,4,2025-01-26,10551
35,2,2025-06-19,4228
36,2,2025-12-23,8025
37,4,2025-12-31,3197
38,2,2025-10-17,4153
39,3,2025-03-31,8348
40,5,2025-11-27,3390
41,2,2025-04-28,11268
42,5,2025-08-25,10427
43,1,2025-08-18,3231
44,2,2025-04-18,8232
45,5,2025-09-29,9720
46,1,2025-12-10,7410
47,3,2025-05-19,3259
48,1,2025-03-16,11166
49,3,2025-01-26,4715
50,3,2025-05-16,10032
51,4,2025-06-11,6785
52,5,2025-10-13,10973
53,3,2025-09-28,3546
54,2,2025-09-26,8557
55,1,2025-09-18,4721
56,3,2025-03-17,9133
57,5,2025-12-26,6425
58,5,2025-03-14,5977
59,3,2025-09-19,11083
60,2,2025-07-09,10780
61,2,2025-08-13,10488
62,2,2025-09-04,10181
63,1,2025-10-08,9044
64,5,2025-08-28,6634
65,1,2025-03-26,6090
66,3,2025-02-26,9080
67,5,2025-02-13,9078
68,3,2025-02-06,4917
69,2,2025-07-22,4708
70,1,2025-09-27,4686
71,1,2025-11-24,11550
72,2,2025-07-11,11041
73,1,2025-09-08,10517
74,1,2025-03-02,4911
75,3,2025-12-05,9566
76,4,2025-11-23,8806
77,1,2025-12-24,10572
78,3,2025-02-21,6946
79,1,2025-03-23,6427
80,5,2025-11-09,10786
