flight_id,route_id,date,passengers,ticket_price,revenue
1,1,2025-10-03,187,9286,1736482
2,1,2025-05-04,91,11945,1086995
3,1,2025-06-07,200,8553,1710600
4,5,2025-07-06,161,11532,1856652
5,1,2025-09-28,87,3824,332688
6,5,2025-11-03,174,7732,1345368
7,4,2025-10-23,183,7150,1308450
8,1,2025-10-14,97,10718,1039646
9,2,2025-12-29,101,7602,767802
10,3,2025-03-10,95,11755,1116725
11,5,2025-05-31,157,5912,928184
12,4,2025-06-24,146,7670,1119820
13,3,2025-12-11,184,5953,1095352
14,2,2025-01-24,182,10880,1980160
15,4,2025-10-03,209,9283,1940147
16,1,2025-04-09,219,4516,989004
17,1,2025-01-15,206,11948,2461288
18,4,2025-05-07,196,5789,1134644
19,3,2025-11-11,108,6637,716796
20,2,2025-05-21,110,8316,914760
21,3,2025-06-02,85,7890,670650
22,3,2025-06-30,160,9610,1537600
23,3,2025-01-09,128,5659,724352
24,3,2025-07-13,136,5935,807160
25,3,2025-02-10,198,10867,2151666
26,4,2025-09-12,212,5041,1068692
27,2,2025-01-16,108,9282,1002456
28,3,2025-03-30,126,4708,593208
29,1,2025-12-22,109,11204,1221236
30,1,2025-01-17,167,8652,1444884
31,1,2025-01-30,81,10893,882333
32,3,2025-11-19,97,3840,372480
33,5,2025-06-25,155,8262,1280610
34,4,2025-01-26,88,10551,928488
35,2,2025-06-19,124,4228,524272
36,2,2025-12-23,158,8025,1267950
37,4,2025-12-31,127,3197,406019
38,2,2025-10-17,205,4153,851365
39,3,2025-03-31,119,8348,993412
40,5,2025-11-27,211,3390,715290
41,2,2025-04-28,216,11268,2433888
42,5,2025-08-25,108,10427,1126116
43,1,2025-08-18,104,3231,336024
44,2,2025-04-18,140,8232,1152480
45,5,2025-09-29,109,9720,1059480
46,1,2025-12-10,149,7410,1104090
47,3,2025-05-19,217,3259,707203
48,1,2025-03-16,147,11166,1641402
49,3,2025-01-26,91,4715,429065
50,3,2025-05-16,94,10032,943008
51,4,2025-06-11,124,6785,841340
52,5,2025-10-13,216,10973,2370168
53,3,2025-09-28,121,3546,429066
54,2,2025-09-26,132,8557,1129524
55,1,2025-09-18,113,4721,533473
56,3,2025-03-17,179,9133,1634807
57,5,2025-12-26,96,6425,616800
58,5,2025-03-14,121,5977,723217
59,3,2025-09-19,101,11083,1119383
60,2,2025-07-09,94,10780,1013320
61,2,2025-08-13,173,10488,1814424
62,2,2025-09-04,164,10181,1669684
63,1,2025-10-08,171,9044,1546524
64,5,2025-08-28,132,6634,875688
65,1,2025-03-26,175,6090,1065750
66,3,2025-02-26,125,9080,1135000
67,5,2025-02-13,201,9078,1824678
68,3,2025-02-06,100,4917,491700
69,2,2025-07-22,171,4708,805068
70,1,2025-09-27,86,4686,402996
71,1,2025-11-24,189,11550,2182950
72,2,2025-07-11,212,11041,2340692
73,1,2025-09-08,95,10517,999115
74,1,2025-03-02,190,4911,933090
75,3,2025-12-05,213,9566,2037558
76,4,2025-11-23,195,8806,1717170
77,1,2025-12-24,92,10572,972624
78,3,2025-02-21,148,6946,1028008
79,1,2025-03-23,217,6427,1394659
80,5,2025-11-09,204,10786,2200344
81,4,2025-06-27,149,8325,1240425
82,4,2025-07-15,153,6391,977823
83,2,2025-01-13,200,10638,2127600
84,4,2025-06-17,138,5188,715944
85,3,2025-10-02,209,9708,2028972
86,1,2025-07-11,90,3284,295560
87,1,2025-05-03,194,8089,1569266
88,4,2025-06-02,157,8431,1323667
89,1,2025-02-15,181,9397,1700857
90,5,2025-11-27,173,10129,1752317
