month,passengers
2023-01-31,102042
2023-02-28,107596
2023-03-31,112374
2023-04-30,115557
2023-05-31,121853
2023-06-30,125178
2023-07-31,124725
2023-08-31,123829
2023-09-30,121656
2023-10-31,126851
2023-11-30,122896
2023-12-31,125201
2024-01-31,122437
2024-02-29,123760
2024-03-31,126187
2024-04-30,130392
2024-05-31,132400
2024-06-30,138526
2024-07-31,142840
2024-08-31,150458
2024-09-30,154462
2024-10-31,156206
2024-11-30,163178
2024-12-31,167963
2025-01-31,168969
2025-02-28,173007
2025-03-31,173310
2025-04-30,174181
2025-05-31,169318
2025-06-30,167712
2025-07-31,169798
2025-08-31,172218
2025-09-30,170680
2025-10-31,174538
2025-11-30,173961
2025-12-31,181521
