airline_code,airline_id,source_airport,source_id,destination_airport,destination_id,avg_ticket_price,monthly_passengers,monthly_revenue,operating_cost,profit
2B,410,AER,2965,KZN,2990,10129,9248,93672992,60887444.800000004,32785547.199999996
2B,410,ASF,2966,KZN,2990,12770,2567,32780590,21307383.5,11473206.5
2B,410,ASF,2966,MRV,2962,22368,3606,80659008,52428355.2,28230652.799999997
2B,410,CEK,2968,KZN,2990,13800,13434,185389200,120502980.0,64886220.0
2B,410,CEK,2968,OVB,4078,18161,8962,162758882,105793273.3,56965608.7
2B,410,DME,4029,KZN,2990,5748,19019,109321212,71058787.8,38262424.2
2B,410,DME,4029,NBC,6969,11339,10600,120193400,78125710.0,42067690.0
2B,410,DME,4029,TGK,\N,22803,2670,60884010,39574606.5,21309403.5
2B,410,DME,4029,UUA,6160,13220,6471,85546620,55605303.0,29941317.0
2B,410,EGO,6156,KGD,2952,16290,16668,271521720,176489118.0,95032602.0
2B,410,EGO,6156,KZN,2990,24277,19284,468157668,304302484.2,163855183.8
2B,410,GYD,2922,NBC,6969,5202,15129,78701058,51155687.7,27545370.299999997
2B,410,KGD,2952,EGO,6156,11941,13931,166350071,108127546.15,58222524.849999994
2B,410,KZN,2990,AER,2965,15149,18703,283331747,184165635.55,99166111.44999999
2B,410,KZN,2990,ASF,2966,8383,3140,26322620,17109703.0,9212917.0
2B,410,KZN,2990,CEK,2968,15523,1930,29959390,19473603.5,10485786.5
2B,410,KZN,2990,DME,4029,16595,16187,268623265,174605122.25,94018142.75
2B,410,KZN,2990,EGO,6156,20742,10320,214057440,139137336.0,74920104.0
2B,410,KZN,2990,LED,2948,7836,5767,45190212,29373637.8,15816574.2
2B,410,KZN,2990,SVX,2975,18014,1375,24769250,16100012.5,8669237.5
2B,410,LED,2948,KZN,2990,17238,9999,172362762,112035795.3,60326966.7
2B,410,LED,2948,NBC,6969,6651,19802,131703102,85607016.3,46096085.7
2B,410,LED,2948,UUA,6160,6053,16025,96999325,63049561.25,33949763.75
2B,410,MRV,2962,ASF,2966,22879,12415,284042785,184627810.25,99414974.75
2B,410,NBC,6969,DME,4029,16636,5046,83945256,54564416.4,29380839.6
2B,410,NBC,6969,GYD,2922,13807,4460,61579220,40026493.0,21552727.0
2B,410,NBC,6969,LED,2948,5793,14474,83847882,54501123.300000004,29346758.699999996
2B,410,NBC,6969,SVX,2975,13632,5275,71908800,46740720.0,25168080.0
2B,410,NJC,2972,SVX,2975,3696,5141,19001136,12350738.4,6650397.6
2B,410,NJC,2972,UUA,6160,12756,14717,187730052,122024533.8,65705518.2
2B,410,NUX,4364,SVX,2975,20256,1645,33321120,21658728.0,11662392.0
2B,410,OVB,4078,CEK,2968,15788,16186,255544568,166103969.20000002,89440598.79999998
2B,410,OVB,4078,SVX,2975,9294,13687,127206978,82684535.7,44522442.3
2B,410,SVX,2975,KZN,2990,6055,19191,116201505,75530978.25,40670526.75
2B,410,SVX,2975,NBC,6969,20644,2078,42898232,27883850.8,15014381.2
2B,410,SVX,2975,NJC,2972,15560,18150,282414000,183569100.0,98844900.0
2B,410,SVX,2975,NUX,4364,11609,15607,181181663,117768080.95,63413582.05
2B,410,SVX,2975,OVB,4078,23577,4317,101781909,66158240.85,35623668.15
2B,410,TGK,\N,DME,4029,10160,13444,136591040,88784176.0,47806864.0
2B,410,UUA,6160,DME,4029,19476,2094,40782744,26508783.6,14273960.399999999
2B,410,UUA,6160,LED,2948,8835,4625,40861875,26560218.75,14301656.25
2B,410,UUA,6160,NJC,2972,19208,18606,357384048,232299631.20000002,125084416.79999998
2G,1654,BTK,2936,IKT,2937,17312,11006,190535872,123848316.8,66687555.2
