month,revenue
2023-01-31,496159591.0
2023-02-28,521993494.8398076
2023-03-31,548088751.1534868
2023-04-30,576531094.2403948
2023-05-31,588609777.0681657
2023-06-30,590289587.8875883
2023-07-31,595523511.341284
2023-08-31,612116482.0869162
2023-09-30,606573147.3317906
2023-10-31,600272165.4029933
2023-11-30,595657605.8562257
2023-12-31,588976684.5705827
2024-01-31,572211350.2346036
2024-02-29,588108559.9364619
2024-03-31,597799440.1451036
2024-04-30,606978376.2668431
2024-05-31,621828565.421621
2024-06-30,632291467.9127846
2024-07-31,674889558.0900537
2024-08-31,700852542.4941087
2024-09-30,720726363.528561
2024-10-31,748467712.9359394
2024-11-30,756182798.4809403
2024-12-31,782056556.3493186
2025-01-31,794130523.3311691
2025-02-28,786693520.4047347
2025-03-31,804277757.7556531
2025-04-30,782504910.2620878
2025-05-31,779109467.7777375
2025-06-30,768387869.3434842
2025-07-31,781884754.4555315
2025-08-31,778815747.8888388
2025-09-30,764701963.1580946
2025-10-31,777771988.6724648
2025-11-30,793689374.6492257
2025-12-31,818420737.6881706
