source_airport,destination_airport,revenue,profit,passengers
ORD,ATL,2705745726,947011004.1,198856
ATL,ORD,2678232977,937381541.9499999,212970
LHR,BOS,2428225931,849879075.85,145354
ACE,LGW,2409158161,843205356.3499999,118255
ORD,MSY,2241485054,784519768.8999999,136244
CGK,SIN,2220082112,777028739.2,134909
SIN,KUL,2188081141,765828399.35,118302
CNX,BKK,2133598259,746759390.6499999,152820
JFK,MXP,2007691085,702691879.75,118480
KUL,CGK,2005054609,701769113.1499999,139960
JFK,MSY,1968340093,688919032.55,114739
ATL,IAH,1955742642,684509924.6999999,123930
LHR,LAX,1948169440,681859304.0,108816
HKG,BKK,1940979635,679342872.25,128941
HGH,SJW,1917291331,671051965.8499999,122909
BKK,ICN,1861122782,651392973.7,98754
HGH,DLC,1854199723,648969903.05,112659
CPH,OSL,1816874283,635905999.05,101854
ORD,CDG,1815516126,635430644.1,102514
HGH,HKG,1802013784,630704824.4,107417
